"region_name","total_crimes","avg_population","avg_crime_rate"
"Southern California",1153959,84719.2576520728,771.193829419918
"Bay Area",433714,66816.1257621951,324.393032323142
"San Joaquin Valley",237170,47822.825974026,504.247537512657
"San Diego",161056,140728.496031746,405.259818549869
"Sacramento Area",91545,63583.8482490272,435.663293346209
"Monterey Bay",39993,28427.5042735043,526.82110639782
"Santa Barbara",18686,35155.8818181818,335.789782519638
"North Coast",8662,9798.98773006135,509.558064276199
"Shasta",8536,49230.1428571429,652.918127694228
"Butte",7841,24773.2857142857,674.897258103261
"San Luis Obispo",6723,21292.3265306122,313.798677825728
"Northeast Sierra",4311,5092.09793814433,435.143979906483
"Northern Sacramento Valley",3820,7447.09523809524,517.812333956073
"Central/Southeast Sierra",2169,4868,484.573738035012
